date,ghcr_pulls,scraped_from,note
2026-04-30,,html-grep,GitHub returned HTTP 302 (run 25149776943)
2026-05-01,,html-grep,GitHub returned HTTP 302 (run 25204657684)
2026-05-02,,html-grep,GitHub returned HTTP 302 (run 25244829960)
2026-05-03,,html-grep,GitHub returned HTTP 302 (run 25271319868)
2026-05-04,,html-grep,GitHub returned HTTP 302 (run 25303529473)
2026-05-05,,html-grep,GitHub returned HTTP 302 (run 25359784374)
2026-05-06,,html-grep,GitHub returned HTTP 302 (run 25418862455)
2026-05-07,,html-grep,GitHub returned HTTP 302 (run 25478519265)
2026-05-08,,html-grep,GitHub returned HTTP 302 (run 25538543970)
2026-05-09,,html-grep,GitHub returned HTTP 302 (run 25593219694)
2026-05-10,,html-grep,GitHub returned HTTP 302 (run 25621309043)
2026-05-11,,html-grep,GitHub returned HTTP 302 (run 25654251379)
2026-05-12,,html-grep,GitHub returned HTTP 302 (run 25716805132)
2026-05-13,,html-grep,GitHub returned HTTP 302 (run 25782199706)
2026-05-14,,html-grep,GitHub returned HTTP 302 (run 25845245332)
2026-05-15,,html-grep,GitHub returned HTTP 302 (run 25903913869)
